"voter","count"
"osmo10w6zpqw2k3cre0lfmjrg0etzzluk22zcdlyncc",4
"osmo10w9nskqua7fr5q7g7jvl5ygttdcqszmjum22qc",4
"osmo10wea8f4r3877fhfmzj4wn8gh4f234umlup0nny",2
"osmo10wv9mds80emehq3q0qrcvr5ssz8zwhhe8y8567",1
"osmo10wwqh5atdkdntfzefzpsa53x9f5vt2p8fvww8m",1
"osmo10wzd0drgcpudme039j22h70dnayra75azmwms7",4
"osmo10wzgz7vl8pyuzc9dzalymzuwq0hsqgmvwhgzj5",4
"osmo10wzx4wtkln7rtfgre7frlfzztnn9qkgyrn3v7q",1
"osmo10x389uurfez08qtnhkgkzjn6a8tlmaw2juwtg7",1
"osmo10x53ljf7kpvdksr3xeg45c4s7925dyjj835my3",1
"osmo10xgz33mrrlj07kc8hlz0r436a4ejzktenqr7m9",4
"osmo10xjmyvkaz4v7n8mu498n54hvrkgzuyeapvcnaj",2
"osmo10xnqv49h7hh0gfspl7pq6w5nfqtkvj4rxzhel9",1
"osmo10xrqt2z5swutrq0qfl7qysug5yf7xwryfdlj53",3
"osmo10xu5mpgm9vnle4a9tcefxy3npn3q2eyshlx5f2",4
"osmo10y30e37h05y5glnzq8ev9psh8tvmg4nnql72mh",2
"osmo10y4gm8zzagkme80f8cyj4sruetd7ja0mzsuqc3",3
"osmo10y664sv5rysvvq7gl05f5ephegdwnjwzs4l4wn",1
"osmo10y7m8mf4sfspnq29y5l0tefwjkshessz0p30mp",1
"osmo10ycq2rvf56zl49z2mnyg4ttqjmfmjz995pkrwk",4
"osmo10yhmt3v5dvs3w87uhm3r5lqhf2vp7zacrqt5kn",2
"osmo10yp820v5t3exmc2xzfdhwe7gw3al6g3j5l32x3",4
"osmo10yrehpvqf2d8ft4pfuwdjehy5kzq8x5nugygvf",1
"osmo10yudluxykwhuyn6eq9rgt7rkrsehu8qpl09kg4",1
"osmo10yvnpg6etvmt6cvqetg3kuzaf9zny4y6pwhlc3",1
"osmo10yzkfefhjfeaqs78qnf7lmnqpsanpg9wnl7la8",1
"osmo10z0qwa9j0dsfrdtudwhhef3mkxw0z0xypaxed0",4
"osmo10z502q76y9vdrar73gm7guekk8lvs8chferdcd",4
"osmo10z6mwcv78kmnj4lm74ce3zydrqwuh5qhhlyl6s",4
"osmo10z98gfxgdgqn0mn8m6y805z8xy5jnpez5uyls2",1
"osmo10za4ygk55mxt030g90pzqc8r6s3xry944nflgx",2
"osmo10zrrktdguf4tdpju77htzqgtgquysr6vr83j3d",2
"osmo10zseswd0le2aasvd8n0w6m86p69klh2h204572",3
"osmo10zyvn9ejp84ez7hyrtn4l3m8x3yr0ef0n2te4v",1
"osmo1200j3g8atzpqj7r0mcn8wzkqymecuckpakkzhl",1
"osmo1204g59lju5lysugsc9d5d686jnnrhavdss3d6q",4
"osmo1204r2uavl8kp4gtnt76j4v6zqzty0sesmdtzrk",3
"osmo12080gslp2lmkml6msqveu6sjw69sknawfv7306",4
"osmo1208dkcagkpzww3fw6xavhafd7lg6ts83wgsv2d",3
"osmo120ccruea2enrgmx2krdd5u8r2y0lnvh38va87k",3
"osmo120ct253qcx49vucpc97pqgvyaha9acae2tgdft",4
"osmo120ksd6cc2mkemgztnrn88khyse8gjx3hcmhafh",1
"osmo120qs4hqvr4jhrke3fymytcxyem8cchxrhtaf0q",4
"osmo120u45fn44dgpf3zqdragxjwfvazj8rcgv9zhqp",2
"osmo120ynu7jqzennwqmhzuxzqhsencnpwa539tlfde",4
"osmo1220rj0v58m6l5678kclflf8l45p8t8253jfqnp",2
"osmo122537m0dm0s39n8v03h370z3jmmg0neaphlqg9",3
"osmo1225ymvkd0wye26rfntp2dg9g3hhl9ckg6qhfh9",2
"osmo1226q9glnrx4vvkk68050l82dazcpk4uvunm0wa",3
"osmo122hjrmj8k2f0lc0m8nepdysgx9f2gan2jn8s3u",4
"osmo122hxr078fjenacm08sshe4qkyekyl70ls5menu",4
"osmo122j5ur8azp48ek2z52vqrj0gztxgesggc6fjsj",4
"osmo122ll0dp5g6mpyntvvml4y6lu4hnat862x4uea8",2
"osmo122mu76p6k6pah0kllvtzrwnlpwz9y3e2gdhx0y",1
"osmo122rm5fnk7vwt9hrygh25e7pfg6qm9aphg8hqka",4
"osmo122sjy5nzdluxhcwts8hnycz7le472vw49k7575",2
"osmo122taa46qrdv22ryk6v9wvs285y24q9z2vk69q8",1
"osmo1237kcwsskvk8jv6rnr2ellrpsfdwyn9dndgq5j",1
