"address","amount"
"osmo123u98xsk32ra8xz3fzh9g7yu4ktr4xe7nk086e",67928629
"osmo124aujfnz2ttutcmlfrr35z3gxr70h5vn38nprg",271714516
"osmo124f62xv70wr633hs8z8p0euauxq4ztc4s0fey5",203785887
"osmo124s6kayjppkdcweu9kly5azmu47fse646cku69",203785887
"osmo124t2wtzh62ul3elhcrjyuyj70xwq78q7t830ye",203785887
"osmo124t7yuz42u6k4yzve4zhu2ak20upff2u7cg3zm",203785887
"osmo124tjvtkxns5eqdwmaafh9pedemgzva6ca53acd",271714516
"osmo124tztqwj5lkf434pq9jjcxykda2mn9648hyh30",135857258
"osmo124u9z0jp0l05krrke9ncny22g5znfkzv0wtp3h",203785887
"osmo1253cyvekz2qj7lewgfzxrattzq6u6jyh7q0ead",67928629
"osmo1254988hlhrpakkxjxd3umsyp85fwufpyy4zgd4",67928629
"osmo125fdgj30c2jcjc5dqx2xd3j5wrwj8q0r2s88mx",67928629
"osmo125guhskha4sx4afj9j3k8lp6sg7qtx385zf5mr",135857258
"osmo125ppe74vkc0uln3x6nd4r20kd5mfsapqtym9fg",67928629
"osmo125qn6w7t0j6kcjgrvqypnpdnqzu3q3sw98nhan",203785887
"osmo125tl3umwps4ulsnkuwffqnw8mgadnljlw5ulru",203785887
"osmo125ujprdwl847xfex5f7qx3a0lqln4x35v5zykk",271714516
"osmo126230ec2y43dk8u2wdqrssur8l5pgfxtepajw6",203785887
"osmo126eqnnjxc3w3z9a9sm995pwg659ydq3j5j08f9",135857258
"osmo126f39e04mc5vzetzcydwr8czvhtk5kepxsp0jm",135857258
"osmo126fv3e4yheh5c300jwvc7mp2yv5eqsaw2j267k",67928629
"osmo126k337dmgpnsfaqjgzvtmpta3rgpwq5h88959z",67928629
"osmo126kv4x70s75mrkvmpvmq5p4prhd9ep6w33qyw2",135857258
"osmo126rk3ac5z45s3lugtr3gw4gg0wknz3pxpt45tm",67928629
