address,amount
osmo1086x7lhnkcfpjjjjpek8k7wrpfrcscm9uz2f9d,88440006
osmo1087lcqcg3rjel6hfgd70nv3haa4rxxrfdvds7n,58097658
osmo10893eq4mmxmjstyanhx33x0ae89gqf8mdy2w2x,1544215946
osmo108d2mac4uuse6r4gqaxx0aqpgtgddt7s3z4s0f,10550000000
osmo108ddkmyxlzfhewsgtupw35r67wnvd8n24832gx,51917000
osmo108gstdpfdlhtjyy7m9ztm3fyd8e6dgpywwc05q,6414198902
osmo108gvrsya3g5pknyz9deqm0xstrf9n4s268m0lk,68822555
osmo108hty5lfgvyv7gt7x94gx24lwwghfhdh7fq9lm,94184944
osmo108j0xh4qsucnq76l05mjuacpv5ftn7qkpx7xy7,503955899
osmo108ls6clplc9ae3vdgtxejcywmsddc2tshzlsa3,51000000
osmo108m4qkx5k26st6xex0d9620tw4fgdwrmr7pcfn,117311462
osmo108n9vdf7glq2avpp0p8j2ej86ww3tedn5cacat,369000000
osmo108pnemmc8thc6kcylwyqe8xxjkq5w73l45zj7e,70000000
osmo108q9w753yg6p6m29as6d7plwzvqpqu3r4mwkys,1061342170
osmo108qgn3w3rfp76ss20u3rmcky4m52pgaraeucrh,645230000
osmo108s66cdux25lfgylvehpd776zmslsr46xgaa3g,60457229
osmo108sex7dd6qdcy3zr8ul9gpfmhycp6zp483p9lz,223841468
osmo108sfc8l0krf0cscv29dk658qqruj6qd08kemhr,50000000
osmo108ss9dsdya700yjzvvz9ad5zaf4c9tpaqxy3n8,100000000
osmo108t2jfww24pauhd2qevftkl8me77da0zsjn8m0,931700000
osmo108tjg8j6x3cl0dya2wvr6dzu8rpva90svl085g,199595836
osmo108tmzs0zlhpsaa9f3x8aq9fn62772d0vc2rk82,50000000
osmo108v4fgmehatl2awwgqd70e70zz6pcs6kegwyjy,51020980
osmo108w3fg4eh2q346qskqg9p4rvyp4vftqq6pv6en,50000007
osmo108x30u56zsmy977rc7f8ggg480uma5xtgl68t2,111000000
osmo108x4cn82w67sdfzd40m2mk604mawf6qlthxw0s,790468656
osmo108x8h4755levyga6ua9smm3nwegwqzjed40lfd,120884807
osmo108yw43as5l6gchwx8f6xa2d9zce45gw02xg48h,1100000000
osmo108zph0868xxwvvm2rp7cfshkylxdhatp3sy4gj,12024446276
osmo10905rstxf5tzj0w6gguaa76ma7s32v48hnjddh,6960894428
osmo1090mh607mtyvyszy4u32jgstc96rsq5xr8wxs5,2073335615
osmo1093rd082xftnsjmy88ejk3ww90uehte9lkqs0t,119428161
osmo1094p4mkxwyf9s8j33revjzc2ggt2mshpl4wwtv,130170000
osmo1096t2cyncw8mx0fqhmahn99sx8rxhyqkhvxhp2,65322899
osmo1096zyq38tdqdy4sz3h8kvrvpdcntz4ss9yfmgz,52243994
osmo10982vwl2yaa7zsvx2ufwjvx3wdz0mtcpw54d53,185000000
osmo1098nha0z7d43k2uh2as7a3ywx2q3w8wjsvtz2s,1021000000
osmo1098t35cnpzclx6pl97ecdk8e59yll876crf7g6,138165226
osmo109as32auw8xdurf72gclyk26ulml297km02tcy,65001368
osmo109g9m896ce63rv29ld52clgh54ktzagw0lumxl,53590000
osmo109pme5jey3ahxdpu8zeffpwhh7l8ayuarv577k,53700000
osmo109qqzeclel260xh9e9gg84ead696jufqvtft6f,267713853
osmo109rzcjz8rdalm8520jfatamc4gtednz3aahp54,1203000000
osmo109sj2varvep552c075yzx77cgnsqll9fyrf8rw,75082709
osmo109ss8r60un9rjzfe5pd5f6cctgdz3ay0k5tv9w,128750596
osmo109ta7fen9npjem8pu6vvlkc4elq33eq4qq045r,58914244
osmo109u28p93cct3el0hk4xdanya50np4ww0ylyw0r,185508535
osmo109u86dvw52ntm8pl4a97xjj7ffs3wspkm93hmk,580110000
osmo109ugzd324a3eguxsgs2ykehrdvq0pe0e5rred3,51021358
osmo109utqhzh9rduvupeaxwavc0zc2exssa55wt5sh,50800000
osmo109w5dnwzkt4jr7h2njlllte9j3nw8pqnukg2zx,113313201
osmo109wn0m50gscxndn7t3v0cpa5cyyzd6g7tlel3a,236014948
osmo109xe63pprquaa9trm92pmyxnq4a4uw8e7guwlk,1290000000
osmo109xq5v7sw4enwp4pkj8qahqa0uc8xel76qwa4h,101743791
osmo109yr9262mxdcxa2684nf7k7g2qa2d45fvkxc7p,58920000
osmo10a0yv39phu8tvhl69af7zlcz5c2m4wq33jz2x4,57563630
osmo10a3rfjgssgcn3ersltudsrgw95eecrwrx4jal7,50000000
osmo10a54ys3s2v93r8wud0xrncvzgt6e9aapczqt93,484000000
osmo10a7q90f67z3y0gy8hnr5s89x98ts6qh3r807kt,971000000
osmo10a98ngl0c4kpr8nwjyed23krvx2cep72he8sce,1158657332
osmo10a9t5he76y0up422htsjj0v6d50ar3tvw3d0hf,101000000
osmo10aaa8k2jdphcc2lc6rfjsrt03utzldez4fwmm8,51020603
osmo10ad0vv8faq6q76a2xkz9xaqm3gawuxegh70gpx,50000000
osmo10aeqvp09thzdn8w09gfffqjp42klcnr5xuacxx,104000000
osmo10agesr2cmms50mqkcn4erh8d4hucupmu7ytr26,53699307
osmo10ahemef4lk9mpedn5jr78vzvstcq0vk858tg2x,665000000
osmo10ahh3k4czgrd6mdr6ak99srff4nkjepxyaydfu,450000000
osmo10ahvzvwyhsgwqmfa55m8ffla4qchzt9n2vplvy,256378824
osmo10ak5sk2985qfsy6tystahusuu9x6a7wme6y5ff,50000000
osmo10ak9fxdy2an6m4yn763xlg6tgxhz9xmajlk6am,282218352
osmo10akusku6e0qhpqmmk2dye8gzwva7nv3nh4cm2g,1006725065
osmo10al38h26hzlz5axtjg4u35myy3ymp5qx5fphf0,203017377
osmo10alqt85a32lfn0xcwy8j7v5tat6erxn8wrccj3,62907645
osmo10alw0dpkz3gnr8szzfnkp4xgmnegf525slfa5m,75390364
osmo10amfgz727decdtg0ues0twf0ngf8qvscnrflsh,350949707
osmo10arenawv4p23x5w5zkzme77cgq3hm6ph3jndfy,938480237
osmo10as969qjf7adjgg2rda5ly0p0yj3p48444lryw,1246576395
osmo10asvqus2p27j0csexkhzudkymxzdktlvwqxdaa,64560000
osmo10at4gmuegyz9sdgsq26n40ltzarzp72875nup2,51572567
osmo10auc6v5sfm96cdtrupgy5srxxfd4ehayfuyw5y,377590792
osmo10auuu6krsj88y53gzlw9uddkg4vcgj3yxedwf8,71914811
osmo10axgtvw5nt0f66m3taedh4vh5h43pgnvad2r35,123779551
osmo10axkdchwerfexwdrwlhmrttele87qqdava87f0,246516568
osmo10ay4rw8tyv76dejry3xwqr9x76tanlcpmmf99e,148666379
osmo10ayaypygpvltygpgfkaspnet9xwxq6zmcy7z4s,73070000
osmo10ayyaaxzf5wslzgf8ntty3j6fy25m4wg27xxz6,389000000
osmo10c54hgah3t5cug32r09yg2483xea7pym0yc38u,60000000
osmo10c79g2j55ht3qauq96x4qqgewdg8hdhqcpmh6d,188500000
osmo10c7s7fax2p8lxnq2jrycq3n2u0vyyn9ff9jzw4,223495564
osmo10c93htj08v0ctjgzeyhsf456xz6zmkrnv5sc0f,664172081
osmo10ca50w6vduf8w2q8z3km499zlwskgvsqrkkx8v,52823469
osmo10cexzazvlq4dkvqn4f86r4s98zuv3r4f92jk8w,3187000000
osmo10cg5m6dzuxcaf3gdqqxm4c6pvzslfd79cjpa60,50023000
osmo10cgr0r573k7d8mc47vsaf5uwv3fhxuvas89ukv,628163630
osmo10cjadvql4e2hyr0xvh57mme7s320dvgkk4ylde,6268375904
osmo10ckzjsw6k6yr5ag5velpjm95954zry0uu2jelt,163432380
osmo10cp55zwyrag6gyc6qndqmjkf2h6veg9k8zrtsd,1060000000
osmo10cqm8myf6ddqpylh4hj48ehvyk7rczls045mcj,213398854
osmo10cqu7a6jyh86a595d30p2k0wpdnl49stzw6z29,200000000
osmo10crjnl6e6sclkc7atg5rq0wn547v28a92l9gtg,58118577
